Name,Purpose
Soil Health Card (SHC),"Soil health card provides information to farmers on nutrient status of their soil along with recommendation on appropriate dosage of nutrients to be applied for improving soil health and its fertility. The indicators are typically based on farmers' practical experience and knowledge of local natural resources. The card lists soil health indicators that can be assessed without the aid of technical or laboratory equipment. The Scheme rolls out a decentralized system of soil testing which will help in developing a nationwide soil fertility map on a GIS platform that can easily be integrated with the real time decision support systems being developed. In order to develop the soil fertility map, Government of India has decided to conduct 5 Crore Soil Samples across the country during year 2023-
24 to 2025-26."
"Rainfed
Area Development (RAD)","RAD is being implemented since 2014-15. RAD adopts an area based approach in cluster mode for promoting Integrated Farming System (IFS) which focuses on multi-cropping, rotational
cropping, inter-cropping, mixed cropping practices with allied activities like horticulture, livestock, fishery, apiculture etc. to enable farmers not only in maximizing the farm returns for sustaining livelihood, but also to mitigate the impacts of drought, flood or other extremes weather events. An amount of Rs. 1673.58
crores has been released and an area of 7.13 lakh hectare has been covered under RAD programme from the year 2014-15 to till date."
Per Drop More Crop (PDMC),"In order to increase water use efficiency at the farm level through Micro Irrigation technologies i.e. drip and sprinkler irrigation systems, Per Drop More Crop (PDMC) scheme was launched during 2015-16. The Micro Irrigation helps in water saving as well as reduced fertilizer usage through fertigation, labour expenses, other input costs and overall income enhancement of farmers.
It also supports micro level water harvesting, storage, management etc. activities as Other Interventions (OI) to supplement source creation for Micro Irrigation. OI activities allowed on need basis up to 40% of the total allocation for North East States, Himalayan States, Jammu & Kashmir, Ladakh and up to 20% for other States.
An area of 78 lakh hectare has been covered under Micro irrigation through the PDMC scheme from 2015-16 to 2022-23."
"Micro
Irrigation Fund (MIF)","A Micro Irrigation Fund (MIF) of initial corpus Rs 5000 crore has been created with NABARD with major objective to facilitate the States in mobilizing the resources for expanding coverage of Micro Irrigation. Under the funding arrangement, NABARD lends to the States/UTs at 3% lower interest rate than the corresponding cost of fund mobilized by NABARD from the market. The interest subvention on the loan under MIF is borne by Centre under PDMC. Projects with loans under MIF worth Rs 4710.96 crore have been approved so far. Loans amounting Rs.2812.24 crore has been disbursed to States of Andhra Pradesh, Tamil Nadu, Gujarat, Punjab, Haryana and Rajasthan. The Ministry provides interest subvention on the loan availed by the States which is met from PDMC Scheme. As per the Budget 2021-22, the corpus of the fund is to be doubled to Rs.10000 crores. MIF is now merged with
PDMC."
"Paramparagat Krishi
Vikas (PKVY)","Paramparagat Krishi Vikas Yojana (PKVY) aims to increase soil fertility and thereby helps in production of healthy food through organic practices without the use of agro-chemicals. The scheme is implemented in a cluster mode with unit cluster size of 20 hectares. A group shall comprise minimum 20 farmers (may be more if individual holdings are less). Farmers in a group can avail benefit of maximum of 2 ha as per provision of PKVY. 25 such clusters are converted into one large cluster of about 500 ha area to facilitate marketing of organic produce. The scheme provides for an assistance of Rs. 31,500 per ha to states, out of which i.e., Rs. 15,000 is given
as incentives to a farmer directly through DBT."
"Sub-Mission
on Agriculture Mechanization (SMAM)","Sub Mission on Agricultural Mechanization (SMAM) is being implemented w.e.f April, 2014 which aims at catalyzing an accelerated but inclusive growth of agricultural mechanization in India with the objectives of Increasing the reach of farm mechanization to small and marginal farmers and to the regions where availability of farm power is low, promoting ‘Custom Hiring Centres’ to offset the adverse economies of scale arising due to small landholding and high cost of individual ownership, creating hubs for hi-tech& high value farm equipments, creating awareness among stakeholders through demonstration and capacity building activities and Ensuring performance testing and certification at designated testing centers located all over the country. Till date Rs. 6748.78 Crore have been released to State Governments, distributed more than 15,75,719 agricultural machinery & equipment’s including Tractors, Power Tillers, Self-Propelled Machineries and Plant Protection Equipment and established 23472 nos of Custom Hiring Centres, 504 nos of Hi-Tech Hubs and 20597 nos. of Farm Machinery Banks.
Promotion of Drone Technology under SMAM
Looking into the unique advantages of Drone technologies in agriculture, a Standard Crop Specific Operating Procedures (SOPs) released the for use of drones in pesticide and nutrient application in public domain on 20.04.2023, which provides concise instructions for effective and safe operations of drones.
From within the funds of SMAM, so far an amount of Rs.
138.82 crores have been released towards Kisan drone promotion, which include purchase of 317 Drones for their demonstration in 79070 hectares of land and supply of 461 drones to the farmers on subsidy and also supply of 1595 drones to the CHCs for providing drone services to the farmers on rental basis."
"Crop Residue
Management","Crop Residue Management was implemented from 2018-19 in Punjab, Haryana, Uttar Pradesh and NCT of Delhi. Its objectives include protecting environment from air pollution and preventing loss of nutrients and soil micro-organisms caused by burning of crop residue through promoting in-situ management of crop residue. In this regard, it proposes to set up Farm Machinery Banks for custom hiring of in-situ crop residue management machinery. It also aims to creating awareness among stakeholders through demonstration, capacity building activities and differentiated information, education and communication strategies for effective utilization and management of crop residue. Rs. 3333.17 crore has been released under the scheme since inception and distributed more than 2,95,845 CRM machinery. CRM is now merged with
SMAM."
Agro-forestry,"Agro-forestry was conceived on the recommendation of the National Agro-forestry Policy 2014 to promote plantation on farmlands. The
restructured agro-forestry under RKVY is aimed to provide Quality
Planting Materials (QPM) and the certification in order to promote
planting of trees on farm land for improving the livelihood of farmers."
National Food Security Mission (NFSM),"The Mission aims at increasing production of rice, wheat, pulses, coarse cereals (Maize and Barley) and Nutri-Cereals through area expansion and productivity enhancement in a sustainable manner in the identified districts of 28 States and 2 UTs (i.e., J&K and Ladakh). Other objectives include restoring Soil fertility and productivity at the individual farm level, enhancing farm level economy to restore confidence amongst the farmers and post harvest value addition at farm gate.
Since the declaration of the International Year of Millets (IYM) 2023 by the UNGA in 2021, Government has taken a proactive multi stakeholder engagement approach to achieve the aim of IYM 2023 and taking Indian millets globally. 25 seed-hubs have been established to ensure availability of quality seed of latest improved varieties of Nutri cereals in the country. Millet missions have been launched across 13 states including Odisha, Tamil Nadu, Chhattisgarh, Assam, Karnataka, Madhya Pradesh, Maharashtra, Uttarakhand, Uttar Pradesh, Bihar, Himachal Pradesh, Gujarat and Rajasthan. More than 500 start-ups and 350 FPOs have been
established and are operational in the millet ecosystem as of now."
Sub-Mission on Seed and Planting Material (SMSP),"SMSP covers the entire gamut of seed production chain, from production of nucleus seed to supply of certified seeds to the farmers, to provide support for creation of infrastructure conducive for development of the seed sector, support to the public seed producing organisations for improving their capacity and quality of seed production, create dedicated seed bank to meet unforeseen circumstances of natural calamities, etc. For effective monitoring, efficiency and transparency covering Seed chain from Nucleus- Breeder-Foundation-Certified Seed, first phase of Seed Authentication, Traceability & Holistic Inventory (SATHI) portal
was launched on 19th April, 2023. SMSP is now merged with NFSM."
"National Mission on
Edible
Oils (NMEO)-Oil Palm","A new Centrally Sponsored Scheme namely, National Mission on Edible Oil (NMEO)-Oil Palm (NMEO-OP) has been launched by Government of India in 2021 in order to promote oil palm cultivation for making the country Aatamnirbhar in edible oils with special focus on North-Eastern States and A&N Islands. The Mission will bring additional area of 6.5 lakh ha under Oil Palm plantation with
3.28 lakh ha in north-eastern states and 3.22 in rest of India in next 5 years from 2021-22 to 2025-26."
"Mission
for Integrated Development
of Horticulture (MIDH)","Mission for Integrated Development of Horticulture (MIDH), a Centrally Sponsored Scheme was launched during 2014-15 for holistic growth of the horticulture sector covering fruits, vegetables, root and tuber crops, mushrooms, spices, flowers, aromatic plants, coconut, cashew, cocoa and Bamboo. Major components include
plantation infrastructure development, establishment of new orchards and gardens for fruits, vegetables, spices and flowers, rejuvenation of unproductive, old, and senile orchards, protected cultivation, promotion of organic farming, pollination support through bee keeping, horticulture mechanization, post-harvest management (phm) and marketing infrastructure etc.
Under MIDH since 2014-15 to 2023-24 (as on 31.10.2023) an additional area of 12.95 lakh ha. of identified horticulture crops has been covered, 872 nurseries established for production of quality planting material, 1.41 lakh ha. of old and senile orchards has been rejuvenated, 52069 ha. been covered under organic practices and
3.07 lakh ha. has been covered under Protected Cultivation."
"National
Bamboo Mission (NBM)","The Scheme is implemented in 23 States and 1 UT (J&K) through the State Bamboo Missions (SBM)/ State Bamboo Development Agency (SBDA).NBM mainly focus on the development of complete value chain of the bamboo sector. It is envisaged to link growers with consumers with a cluster approach mode.
Under NBM, 367 Bamboo Nurseries established, 212 bamboo Nurseries Accredited by the State Level Accreditation Committees, 46000 ha bamboo plantations established in non-forest Government & private lands, 81 units for bamboo primary processing established, 416 units established for value addition and product development, and capacity building for 15000 persons including farmers, artisans
and entrepreneurs. NBM is now merged with MIDH."
Integrated Scheme for Agriculture Marketing (ISAM),"ISAM supports state governments in governing the agricultural produce marketing through creation and improvement of market structures, capacity building and generating access to market information. During 2017-18, National Agriculture Market Scheme popularly known as e-NAM scheme has also been made part of the same. National Agriculture Market (e-NAM) is a pan-India electronic trading portal which networks the existing APMC mandis to create a unified national market for agricultural commodities. 1389 mandis of 23 States and 04 UTs have been integrated to e- NAM platform and more than 1.76 Crore Farmers & 2.5 Lakh traders
have been registered on e-NAM portal."
"Mission Organic
Value
Chain Development for North
Eastern Region","The MOVCDNER aims at development of commodity specific, concentrated, certified organic production clusters in value chain mode to link growers with consumers and to support the development of entire value chain starting from inputs, seeds, certification, to the creation of facilities for collection, aggregation, processing, marketing and brand building initiative in Northeast Region (Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim, and Tripura). Since 2015-16 (as on 06.12.2023), Rs 1035.17 crore has been released, 379 FPO/FPCs created covering
189039 farmers and 172966 ha area."
"Sub-Mission
on Agriculture Extension (SMAE)","The scheme aims at making the extension system farmer driven and farmer accountable by disseminating technology to farmers through new institutional arrangements viz. Agricultural Technology Management Agency (ATMA) at district level to operationalize extension reforms in a participatory mode. Digital initiatives taken up in agricultural extension include;
VISTAAR - Virtually integrated Systems To Access Agricultural Resourcs being developed as a DPI for Agriculture Extension Apurva AI- Capturing farmer innovations- Acts as a peer to peer learning Platform and provide content for advisory retrieval through VISTAAR Bot and also for impact Assessment of schemes (AIF completed)
Wadhwani- Krishi 24X7 for Realtime News monitoring, Tamil language and image-based cotton pest identification to be plugged in with FLEW/farmer profile mapping
Kisan Call Centre - Integration with VISTAAR and other IT applications and with Kisan Sarathi (ICAR) for direct contact with Agri experts
RAWE- Integration of Agri students for behavioral interaction through VISTAAR Bot and Feedback system
IMD- Weather forecast integrated through DAMU along with advisory delivery through VISTAAR
NRLM- Decentralised Extension Mechanism ( Krishi Sakhi, Pashu Sakhi , Matsya Sakhi etc) - Capacity building on Digital Extension - VISTAAR"
Digital Agriculture,"The scheme aims to improve the existing National e- Governance Plan in Agriculture (NeGPA) by developing a digital public infrastructure for agriculture that will be built as an open source, open standard and interoperable public good to enable inclusive, farmer-centric solutions through relevant information services for crop planning and health, improved access to farm inputs, credit and insurance, help for crop estimation, market intelligence, and support for the growth of Agri Techs industry and start-ups.
AgriStack architecture has the following foundational layers: -
• Core registries
• Base databases
• Farmers Database: Farmers ID linked with land records
• Geo-referencing of plots
• Crop Survey, Crop planning and
• Soil Mapping, Soil Fertility
• Unified Farmers Service Interface for state, Pvt. Players
• Data Exchange"
